id,texto_relato,natureza,bairro,turno,dia_semana,houve_violencia,valor_prejuizo_reais,idade_vitima,reincidencia
1,comunicante relata agressao por parte de companheiro dentro de casa,Violencia   Domestica ,Samambaia,Noite,Quarta,False,0.0,,False
2,comunicante relata ter recebido ameacas de morte por aplicativo de mensagens,Ameaca,Taguatinga,Manhã,Sábado,False,0.0,58.0,False
3,vitima   percebeu   falta mochila com documentos apos deixar na parada de onibus sem vigilancia,  FURTO  ,Ceilândia,Noite,Quarta,False,1376.24,,True
4,vitima relata ter caido em golpe de venda falsa pela internet e perdido notebook,Estelionato,Planaltina,Noite,Terça,False,3234.82,32.0,False
5,comunicante relata que teve notebook subtraido sem uso de violencia proximo a residencia,Furto ,Sobradinho,Madrugada,Sexta,False,292.48,57.0,False
6,vitima relata ter caido em golpe de venda falsa pela internet e perdido veiculo,Estelionato,Samambaia,Noite,Terça,False,2196.11,77.0,False
7,vitima procurou a delegacia apos sofrer agressao fisica de conhecido,   Lesao Corporal   ,Taguatinga,Madrugada,Quarta,True,0.0,51.0,False
8,denuncia anonima relata comercio de entorpecentes dentro do onibus,Trafico de Drogas,Águas Claras,Madrugada,Quarta,False,0.0,31.0,False
9,vitima procura delegacia relatando ameacas reiteradas do ex-companheiro,Violencia Domestica	,Águas Claras,Manhã,Sábado,False,0.0,26.0,False
10,comunicante relata agressao por parte de companheiro dentro de casa,Violencia Domestica,Samambaia,Manhã,Quinta,False,0.0,61.0,False
11,comunicante relata som alto excessivo vindo de imovel vizinho em via publica,  PERTURBACAO DO SOSSEGO  ,Asa Norte,Madrugada,Domingo,False,0.0,,False
12,vitima solicita providencias contra perturbacao recorrente do sossego,Perturbacao do Sossego,Taguatinga,Tarde,Quinta,False,0.0,57.0,False
13,vitima percebeu falta mochila com documentos apos deixar na parada de onibus sem vigilancia,   Furto   ,Gama,Madrugada,Quinta,False,480000.0,34.0,False
14,comunicante relata ter recebido ameacas de morte por aplicativo de mensagens,Ameaca,Gama,Madrugada,Domingo,False,0.0,24.0,False
15,"vitima nao retornou para casa apos sair para trabalhar, familia registra desaparecimento",Pessoa Desaparecida	,Guará,Noite,Quarta,False,0.0,36.0,False
16,comunicante relata que teve celular subtraido sem uso de violencia dentro do onibus,Furto,Taguatinga,Manhã,Terça,False,749.74,21.0,True
17,comunicante relata movimentacao suspeita associada a trafico de drogas proximo a residencia,   Trafico de Drogas   ,Ceilândia,Manhã,Quinta,False,0.0,63.0,False
18,vitima solicita providencias contra perturbacao recorrente do sossego,Perturbacao do Sossego,Guará,Madrugada,Sexta,False,0.0,121.0,False
19,comunicante relata ter sido agredido fisicamente durante discussao na feira livre,  LESAO CORPORAL  ,Taguatinga,Noite,Domingo,True,0.0,,False
20,comunicante relata ter sido rendido e ter bicicleta levado no comercio local,Roubo,Águas Claras,Manhã,Sábado,True,2849.89,75.0,True
21,"vitima nao retornou para casa apos sair para trabalhar, familia registra desaparecimento",Pessoa   Desaparecida ,Sobradinho,Tarde,Segunda,False,0.0,78.0,False
22,comunicante relata agressao por parte de companheiro dentro de casa,Violencia Domestica,Ceilândia,Tarde,Segunda,False,0.0,63.0,False
23,vitima informa que foi abordada por individuo armado que levou notebook em via publica,  ROUBO  ,Gama,Noite,Quarta,False,1686.65,59.0,False
24,"vitima nao retornou para casa apos sair para trabalhar, familia registra desaparecimento",Pessoa Desaparecida,Taguatinga,Manhã,Segunda,False,0.0,41.0,False
