id,texto_relato,natureza,bairro,turno,dia_semana,houve_violencia,valor_prejuizo_reais,idade_vitima,reincidencia
1,   Comunicante relata agressao por parte de companheiro dentro de casa   ,Violencia   Domestica ,Samambaia,Noite,Quarta,False,0.0,,False
2,   Comunicante relata ter recebido ameacas de morte por aplicativo de mensagens   ,Ameaca,Taguatinga,Manhã,Sábado,False,0.0,58.0,False
3,Vitima   percebeu   falta mochila com documentos apos deixar na parada de onibus sem vigilancia,  FURTO  ,Ceilândia,Noite,Quarta,False,1376.24,,True
4,VITIMA RELATA TER CAIDO EM GOLPE DE VENDA FALSA PELA INTERNET E PERDIDO NOTEBOOK,Estelionato,Planaltina,Noite,Terça,False,3234.82,32.0,False
5,COMUNICANTE RELATA QUE TEVE NOTEBOOK SUBTRAIDO SEM USO DE VIOLENCIA PROXIMO A RESIDENCIA,Furto ,Sobradinho,Madrugada,Sexta,False,292.48,57.0,False
6,VITIMA RELATA TER CAIDO EM GOLPE DE VENDA FALSA PELA INTERNET E PERDIDO VEICULO,Estelionato,Samambaia,Noite,Terça,False,2196.11,77.0,False
7,   Vitima procurou a delegacia apos sofrer agressao fisica de conhecido   ,   Lesao Corporal   ,Taguatinga,Madrugada,Quarta,True,0.0,51.0,False
8,  DENUNCIA ANONIMA RELATA COMERCIO DE ENTORPECENTES DENTRO DO ONIBUS  ,Trafico de Drogas,Águas Claras,Madrugada,Quarta,False,0.0,31.0,False
9,   Vitima procura delegacia relatando ameacas reiteradas do ex-companheiro   ,Violencia Domestica	,Águas Claras,Manhã,Sábado,False,0.0,26.0,False
10,  COMUNICANTE RELATA AGRESSAO POR PARTE DE COMPANHEIRO DENTRO DE CASA  ,Violencia Domestica,Samambaia,Manhã,Quinta,False,0.0,61.0,False
11,Comunicante relata som alto excessivo vindo de imovel vizinho em via publica	,  PERTURBACAO DO SOSSEGO  ,Asa Norte,Madrugada,Domingo,False,0.0,,False
12,   Vitima solicita providencias contra perturbacao recorrente do sossego   ,Perturbacao do Sossego,Taguatinga,Tarde,Quinta,False,0.0,57.0,False
13,   Vitima percebeu falta mochila com documentos apos deixar na parada de onibus sem vigilancia   ,   Furto   ,Gama,Madrugada,Quinta,False,480000.0,34.0,False
14,   Comunicante relata ter recebido ameacas de morte por aplicativo de mensagens   ,Ameaca,Gama,Madrugada,Domingo,False,0.0,24.0,False
15,"VITIMA NAO RETORNOU PARA CASA APOS SAIR PARA TRABALHAR, FAMILIA REGISTRA DESAPARECIMENTO",Pessoa Desaparecida	,Guará,Noite,Quarta,False,0.0,36.0,False
16,COMUNICANTE RELATA QUE TEVE CELULAR SUBTRAIDO SEM USO DE VIOLENCIA DENTRO DO ONIBUS,Furto,Taguatinga,Manhã,Terça,False,749.74,21.0,True
17,  COMUNICANTE RELATA MOVIMENTACAO SUSPEITA ASSOCIADA A TRAFICO DE DROGAS PROXIMO A RESIDENCIA  ,   Trafico de Drogas   ,Ceilândia,Manhã,Quinta,False,0.0,63.0,False
18,  VITIMA SOLICITA PROVIDENCIAS CONTRA PERTURBACAO RECORRENTE DO SOSSEGO  ,Perturbacao do Sossego,Guará,Madrugada,Sexta,False,0.0,121.0,False
19,   Comunicante relata ter sido agredido fisicamente durante discussao na feira livre   ,  LESAO CORPORAL  ,Taguatinga,Noite,Domingo,True,0.0,,False
20,  COMUNICANTE RELATA TER SIDO RENDIDO E TER BICICLETA LEVADO NO COMERCIO LOCAL  ,Roubo,Águas Claras,Manhã,Sábado,True,2849.89,75.0,True
